"REF_DATE","GEO","DGUID","Duration of unemployment","Age group","Sex","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","733.0","","","","1"
"1976-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","730.0","","","","1"
"1976-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","691.5","","","","1"
"1976-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","713.1","","","","1"
"1976-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","720.0","","","","1"
"1976-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","721.3","","","","1"
"1976-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","779.9","","","","1"
"1976-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","743.6","","","","1"
"1976-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","736.7","","","","1"
"1976-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","782.6","","","","1"
"1976-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","780.5","","","","1"
"1976-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","794.8","","","","1"
"1977-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","811.8","","","","1"
"1977-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","842.0","","","","1"
"1977-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","836.0","","","","1"
"1977-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","849.0","","","","1"
"1977-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","837.8","","","","1"
"1977-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","842.0","","","","1"
"1977-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","872.9","","","","1"
"1977-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","882.8","","","","1"
"1977-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","902.0","","","","1"
"1977-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","913.4","","","","1"
"1977-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","925.4","","","","1"
"1977-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","926.6","","","","1"
"1978-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","905.1","","","","1"
"1978-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","913.8","","","","1"
"1978-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","941.2","","","","1"
"1978-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","931.6","","","","1"
"1978-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","953.9","","","","1"
"1978-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","938.5","","","","1"
"1978-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","933.4","","","","1"
"1978-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","948.0","","","","1"
"1978-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","947.2","","","","1"
"1978-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","924.8","","","","1"
"1978-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","945.7","","","","1"
"1978-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","937.8","","","","1"
"1979-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","938.2","","","","1"
"1979-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","917.3","","","","1"
"1979-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","905.0","","","","1"
"1979-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","914.1","","","","1"
"1979-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","871.8","","","","1"
"1979-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","850.7","","","","1"
"1979-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","834.9","","","","1"
"1979-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","821.7","","","","1"
"1979-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","812.5","","","","1"
"1979-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","843.2","","","","1"
"1979-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","836.8","","","","1"
"1979-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","848.1","","","","1"
"1980-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","877.5","","","","1"
"1980-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","894.0","","","","1"
"1980-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","901.0","","","","1"
"1980-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","908.3","","","","1"
"1980-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","923.9","","","","1"
"1980-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","918.3","","","","1"
"1980-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","905.6","","","","1"
"1980-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","907.9","","","","1"
